WKT,name,description
"POINT (-2.3927778 53.31944439999999)",Cottons Hotel & Spa,
"POINT (-2.6146962 53.21468729999999)",Nunsmere Hall Hotel,
"POINT (-2.375793 53.211282)",De Vere Cranage Estate,
"POINT (-2.418308 53.2739134)",The Golden Pheasant At Plumley,
"POINT (-2.402757 53.300603)",Travelodge Knutsford M6,
"POINT (-2.374136 53.30568299999999)",Angel at King St.,
"POINT (-2.3744862 53.30409900000001)",The Silk Rooms at Freemasons Inn,
"POINT (-2.3730935 53.3042636)",The Rose & Crown Inn,
"POINT (-2.4230377 53.34057989999999)",Casa Mere Hotel, Sure Collection by Best Western, Knutsford Cheshire,
"POINT (-2.4298182 53.3438256)",Mere Court Hotel,
"POINT (-2.5932151 53.3910898)",The Parr's Bank Hotel,
"POINT (-2.5832758 53.39360199999999)",Warrington Suites by Relax Stays,
"POINT (-2.56986 53.33981929999999)",The Park Royal,
"POINT (-2.5985544 53.3912803)",Travelodge Warrington,
"POINT (-2.5991146 53.4202813)",Premier Inn Warrington (A49/M62,J9) hotel,
"POINT (-2.5003038 53.3845531)",Statham Lodge Hotel,
"POINT (-2.5205318 53.423254)",B&B HOTEL Warrington,
"POINT (-2.5138976 53.3990597)",Holiday Inn Warrington by IHG,
"POINT (-2.596511 53.430023)",Premier Inn Warrington North East hotel,
"POINT (-2.5950576 53.38299019999999)",Village Hotel Warrington,
"POINT (-2.5139644 53.3975129)",Premier Inn Warrington (M6/J21) hotel,
"POINT (-2.626481 53.548226)",Wigan Oak Hotel,
"POINT (-2.6669446 53.5548555)",Holiday Inn Express Wigan by IHG,
"POINT (-2.62734 53.543623)",Premier Inn Wigan Town Centre hotel,
"POINT (-2.6339306 53.5439029)",The Swan & Railway Hotel,
"POINT (-2.634421 53.556931)",The Brocket Arms,
"POINT (-2.6348474 53.59256509999999)",Macdonald Kilhey Court,
"POINT (-2.6537293 53.51640459999999)",Premier Inn Wigan (M6, J25) hotel,
"POINT (-2.6198698 53.5438499)",Darlington Suites by SA Stays,
"POINT (-2.6835234 53.5895668)",Britannia Wigan Hotel,
"POINT (-2.7030382 53.5941252)",The Wrightington Hotel, Health Club & Spa,
"POINT (-2.7367984 53.4497998)",Mercure St Helens,
"POINT (-2.744481 53.417192)",Premier Inn St. Helens South hotel,
"POINT (-2.6380562 53.4728655)",Mercure Haydock Hotel,
"POINT (-2.718499 53.473442)",OYO Lakeside Haydock Hotel, St Helens,
"POINT (-2.7547108 53.4485828)",The Eccleston Hotel,
"POINT (-2.661895 53.4722072)",Travelodge Haydock St. Helens,
"POINT (-2.6650844 53.4723142)",ibis Styles Haydock,
"POINT (-2.7784228 53.4528741)",Griffin Inn,
"POINT (-2.751976 53.4098434)",Rainhill Hall,
"POINT (-2.7527469 53.4074569)",Premier Inn Liverpool Rainhill hotel,
"POINT (-2.4789715 53.3810249)",Lymm Boutique Rooms,
"POINT (-2.5003038 53.3845531)",Statham Lodge Hotel,
"POINT (-2.4789757 53.380828)",Lymm Village Apartment,
"POINT (-2.4563889 53.41638889999999)",The Black Swan,
