WKT,name,description
"POINT (-2.33916 53.2889441)",Dun Cow,
"POINT (-2.3655044 53.3001605)",Legh Arms,
"POINT (-2.3745075 53.3036131)",Lost & Found Knutsford,
"POINT (-2.3762484 53.304784)",The White Bear,
"POINT (-2.374136 53.30568299999999)",Angel at King St.,
"POINT (-2.3743332 53.3050602)",The Blind Pig,
"POINT (-2.373757 53.3048653)",Wallop Knutsford,
"POINT (-2.3745361 53.3040811)",Six Knutsford,
"POINT (-2.3731272 53.3042683)",The Rose & Crown, Knutsford
"POINT (-2.5908669 53.39631499999999)",The Hawthorne,
"POINT (-2.5946027 53.39008159999999)",Barley Mow,
"POINT (-2.5964484 53.38896279999999)",The White Hart,
"POINT (-2.5916201 53.3886629)",The Botanist Warrington,
"POINT (-2.5936287 53.3899455)",The Blue Bell,
"POINT (-2.592826 53.387522)",The Feathers,
"POINT (-2.5921737 53.38652039999999)",The Rooftop at the Grand,
"POINT (-2.5939654 53.38437159999999)",Waterside,
"POINT (-2.5921128 53.3865134)",The Grand,
"POINT (-2.6181783 53.40061979999999)",The Maltings,
"POINT (-2.713023 53.47618120000001)",The Dam Bar,
"POINT (-2.7252519 53.4688252)",The Woodlands,
"POINT (-2.743888 53.4686111)",The Windle,
"POINT (-2.7429877 53.45835049999999)",The Turks Head,
"POINT (-2.7410899 53.45536670000001)",Brickhouse Tavern,
"POINT (-2.7448412 53.452759)",The Cricketers Arms,
"POINT (-2.7386099 53.4538364)",The Sefton,
"POINT (-2.7381914 53.45510489999999)",The Lamb,
"POINT (-2.7378682 53.453228)",The Tipsy Tap,
"POINT (-2.7290086 53.4426779)",Glass Horse,
"POINT (-2.675626 53.5290703)",Venture,
"POINT (-2.6403912 53.5409564)",The Three Mills,
"POINT (-2.6399796 53.54107639999999)",Feast At The Mills,
"POINT (-2.6332404 53.54299839999999)",The Brewery Project Wigan,
"POINT (-2.6339008 53.5433403)",Hideout,
"POINT (-2.631934 53.5456814)",The Raven,
"POINT (-2.634139 53.5434692)",Wigan Central,
"POINT (-2.6310757 53.5461025)",John Bull Chop House,
"POINT (-2.6293478 53.5494689)",The Whitesmiths Arms,
"POINT (-2.6283643 53.5501979)",The Royal Oak,
"POINT (-2.493542 53.383046)",The Star Inn, Lymm,
"POINT (-2.479032 53.3812969)",The Brewery Tap,
"POINT (-2.4408326 53.3806221)",The Barn Owl Inn,
"POINT (-2.4773172 53.38170299999999)",The Bulls Head,
"POINT (-2.4444029 53.3700443)",Jolly Thresher,
"POINT (-2.479232 53.381231)",Saddlers Arms,
"POINT (-2.4792148 53.3807062)",The Spread Eagle,
"POINT (-2.4876299 53.3794134)",The Crown,
"POINT (-2.477663 53.381471)",Golden Fleece,
"POINT (-2.4774027 53.381307)",Eighteen The Cross,
